BLOCKID,DISTRICT
150010201001000,001
150010201001001,001
150010201001002,001
150010201001003,001
150010201001004,001
150010201001005,001
150010201001006,001
150010201001007,001
150010201001008,001
150010201001009,001
150010201001010,001
150010201001011,001
150010201001012,001
150010201001013,001
150010201001014,001
150010201001015,001
150010201001016,001
150010201001017,001
150010201001018,001
150010201001019,001
150010201001020,001
150010201001021,001
150010201001022,001
150010201001023,001
150010201001024,001
150010201001025,001
150010201001026,001
150010201001027,001
150010201001028,001
150010201001029,001
150010201001030,001
150010201001031,001
150010201001032,001
150010201001033,001
150010201001034,001
150010201001035,001
150010201001036,001
150010201001037,001
150010201001038,001
150010201001039,001
150010201001040,001
150010201001041,001
150010201001042,001
150010201001043,001
150010201001044,001
150010201001045,001
150010201001046,001
150010201001047,001
150010201001048,001
150010201001049,001
150010201001050,001
150010201001051,001
150010201001052,001
150010201001053,001
150010201001054,001
150010201001055,001
150010201001056,001
150010201001057,001
150010201001058,001
150010201001059,001
150010201001060,001
150010201001061,001
150010201001062,001
150010201001063,001
150010201001064,001
150010201001065,001
150010201001066,001
150010201001067,001
150010201001068,001
150010201001069,001
150010201001070,001
150010201001071,001
150010201001072,001
150010201001073,001
150010201001074,001
150010201001075,001
150010201001076,001
150010201001077,001
150010201001078,001
150010201001079,001
150010201001080,001
150010201001081,001
150010201001082,001
150010201001083,001
150010201001084,001
150010201001085,001
150010201001086,001
150010201001087,001
150010201001088,001
150010201001089,001
150010201001090,001
150010201001091,001
150010201001092,001
150010201001093,001
150010201001094,001
150010201001095,001
150010201001096,001
150010201001097,001
150010201001098,001
150010201001099,001
150010201001100,001
150010201001101,001
150010201001102,001
150010201001103,001
150010201001104,001
150010201001105,001
150010201001106,001
150010201001107,001
150010201001108,001
150010201001109,001
150010201001110,001
150010201001111,001
150010201001112,001
150010201001113,001
150010201001114,001
150010201001115,001
150010201001116,001
150010201001117,001
150010201001118,001
150010201001119,001
150010201001120,001
150010201001121,001
150010201001122,001
150010201001123,001
150010201001124,001
150010201001125,001
150010201001126,001
150010201001127,001
150010201001128,001
150010201001129,001
150010201001130,001
150010201001131,001
150010201001132,001
150010201001133,001
150010201001134,001
150010201001135,001
150010201001136,001
150010201001137,001
150010201001138,001
150010201001139,001
150010201001140,001
150010201001141,001
150010201001142,001
150010201001143,001
150010201001144,001
150010201001145,001
150010201001146,001
150010201001147,001
150010201001148,001
150010201001149,001
150010201001150,001
150010201001151,001
150010201001152,001
150010201001153,001
150010201001154,001
150010201001155,001
150010201001156,001
150010201001157,001
150010201001158,001
150010201001159,001
150010201001160,001
150010201001161,001
150010201001162,001
150010201001163,001
150010201001164,001
150010201001165,001
150010201001166,001
150010201001167,001
150010201001168,001
150010201001169,001
150010201001170,001
150010201001171,001
150010201001172,001
150010201001173,001
150010201001174,001
150010201001175,001
150010201001176,001
150010201001177,001
150010201001178,001
150010201001179,001
150010201001180,001
150010201001181,001
150010201001182,001
150010201001183,001
150010201001184,001
150010201001185,001
150010201001186,001
150010201001187,001
150010201001188,001
150010201001189,001
150010201001190,001
150010201001191,001
